testscript,item,SN,version,starttime,endtime,testresult,judgement,value,usl,lsl,time,remark
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2425_ANT1_Power,5891801300098,3.0.0.3,2020/07/27 22:02:43,2020/07/27 22:04:32,Pass,PASS,9.684,11,6,15.55,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2455_ANT1_Power,5891801300098,3.0.0.3,2020/07/27 22:02:43,2020/07/27 22:04:32,Pass,PASS,9.043000000000001,11,6,27.7,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2470_ANT1_Power,5891801300098,3.0.0.3,2020/07/27 22:02:43,2020/07/27 22:04:32,Pass,PASS,8.992,11,6,27.89,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAONRSSI,5891801300098,3.0.0.3,2020/07/27 22:02:43,2020/07/27 22:04:32,Pass,PASS,-15,-9,-15,30.78,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAOFFRSSI,5891801300098,3.0.0.3,2020/07/27 22:02:43,2020/07/27 22:04:32,Pass,PASS,-28,-24,-30,30.78,dBm
