item,SN,version,starttime,endtime,testresult,reason,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
GFI20Bootup,5891801300091,3.0.0.3,2020/07/29 11:10:22,2020/07/29 11:10:34,Pass,,,,,,,,,,,
CountDown,5891801300091,3.0.0.3,2020/07/29 11:10:34,2020/07/29 11:11:26,Pass,,,,,,,,,,,
WaitConnect,5891801300091,3.0.0.4,2020/07/29 11:11:26,2020/07/29 11:11:29,Pass,,,,,,,,,,,
GFI20_RF_Zigbee,5891801300091,3.0.0.3,2020/07/29 11:11:29,2020/07/29 11:13:24,Pass,,,,,,,,,,,
GFI20_RF_LTE,5891801300091,3.0.0.11,2020/07/29 11:13:24,2020/07/29 11:14:43,Pass,,,,,,,,,,,
