item,SN,version,starttime,endtime,testresult,reason,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
GFI20Bootup,5891801300099,3.0.0.3,2020/07/29 10:58:57,2020/07/29 10:59:13,Pass,,,,,,,,,,,
CountDown,5891801300099,3.0.0.3,2020/07/29 10:59:13,2020/07/29 11:00:05,Pass,,,,,,,,,,,
WaitConnect,5891801300099,3.0.0.4,2020/07/29 11:00:05,2020/07/29 11:00:07,Pass,,,,,,,,,,,
GFI20_RF_Zigbee,5891801300099,3.0.0.3,2020/07/29 11:00:07,2020/07/29 11:02:05,Pass,,,,,,,,,,,
GFI20_RF_LTE,5891801300099,3.0.0.11,2020/07/29 11:02:05,2020/07/29 11:03:25,Pass,,,,,,,,,,,
