testscript,item,SN,version,starttime,endtime,testresult,judgement,value,usl,lsl,time,remark
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2425_ANT1_Power,1111111111111,3.0.0.3,2020/07/28 09:44:34,2020/07/28 09:46:35,Pass,PASS,9.064,13,6,27.67,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2455_ANT1_Power,1111111111111,3.0.0.3,2020/07/28 09:44:34,2020/07/28 09:46:35,Pass,PASS,9.115,13,6,27.92,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2470_ANT1_Power,1111111111111,3.0.0.3,2020/07/28 09:44:34,2020/07/28 09:46:35,Pass,PASS,9.218,13,6,28.0,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAONRSSI,1111111111111,3.0.0.3,2020/07/28 09:44:34,2020/07/28 09:46:35,Pass,PASS,-17,-9,-18,30.55,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAOFFRSSI,1111111111111,3.0.0.3,2020/07/28 09:44:34,2020/07/28 09:46:35,Pass,PASS,-29,-24,-30,30.55,dBm
