testscript,item,SN,version,starttime,endtime,testresult,judgement,value,usl,lsl,time,remark
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2425_ANT1_Power,5891801300002,3.0.0.3,2020/07/31 15:33:49,2020/07/31 15:35:44,Pass,PASS,8.998,12,6,26.473,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2455_ANT1_Power,5891801300002,3.0.0.3,2020/07/31 15:33:49,2020/07/31 15:35:44,Pass,PASS,8.928,12,6,26.794,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2470_ANT1_Power,5891801300002,3.0.0.3,2020/07/31 15:33:49,2020/07/31 15:35:44,Pass,PASS,9.047,12,6,26.591,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAONRSSI,5891801300002,3.0.0.3,2020/07/31 15:33:49,2020/07/31 15:35:44,Pass,PASS,-16,-9,-18,28.721,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAOFFRSSI,5891801300002,3.0.0.3,2020/07/31 15:33:49,2020/07/31 15:35:44,Pass,PASS,-28,-24,-30,28.721,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ897.4_ANT1_Power,5891801300002,3.0.0.11,2020/07/31 15:35:44,2020/07/31 15:37:16,Pass,PASS,23.125999999999998,26,21,9.705,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ1950_ANT1_Power,5891801300002,3.0.0.11,2020/07/31 15:35:44,2020/07/31 15:37:16,Pass,PASS,21.759,23.5,18.5,9.504,dBm
GFI20_RF_LTE,LTE_2G_TX_FREQ914.8_ANT1_Power,5891801300002,3.0.0.11,2020/07/31 15:35:44,2020/07/31 15:37:16,Pass,PASS,31.393,35,28,10.721,dBm
GFI20_RF_LTE,LTE_2G_RX_FREQ959.8_ANT1_RSSI,5891801300002,3.0.0.11,2020/07/31 15:35:44,2020/07/31 15:37:16,Pass,PASS,-58,-55,-65,7.766,dBm
