testscript,item,SN,version,starttime,endtime,testresult,judgement,value,usl,lsl,time,remark
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2425_ANT1_Power,5891801300107,3.0.0.3,2020/07/29 10:55:11,2020/07/29 10:56:58,Pass,PASS,9.514999999999999,12,6,15.018,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2455_ANT1_Power,5891801300107,3.0.0.3,2020/07/29 10:55:11,2020/07/29 10:56:58,Pass,PASS,8.628,12,6,27.05,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2470_ANT1_Power,5891801300107,3.0.0.3,2020/07/29 10:55:11,2020/07/29 10:56:58,Pass,PASS,9.025,12,6,27.071,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAONRSSI,5891801300107,3.0.0.3,2020/07/29 10:55:11,2020/07/29 10:56:58,Pass,PASS,-16,-9,-18,29.124,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAOFFRSSI,5891801300107,3.0.0.3,2020/07/29 10:55:11,2020/07/29 10:56:58,Pass,PASS,-28,-24,-30,29.124,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ897.4_ANT1_Power,5891801300107,3.0.0.11,2020/07/29 10:56:58,2020/07/29 10:58:18,Pass,PASS,22.587,26,21,9.755,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ1950_ANT1_Power,5891801300107,3.0.0.11,2020/07/29 10:56:58,2020/07/29 10:58:18,Pass,PASS,20.92,23.5,18.5,9.511,dBm
GFI20_RF_LTE,LTE_2G_TX_FREQ914.8_ANT1_Power,5891801300107,3.0.0.11,2020/07/29 10:56:58,2020/07/29 10:58:18,Pass,PASS,31.259,35,28,10.146,dBm
GFI20_RF_LTE,LTE_2G_RX_FREQ959.8_ANT1_RSSI,5891801300107,3.0.0.11,2020/07/29 10:56:58,2020/07/29 10:58:18,Pass,PASS,-58,-55,-65,7.854,dBm
