testscript,item,SN,version,starttime,endtime,testresult,judgement,value,usl,lsl,time,remark
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2425_ANT1_Power,5891801300060,3.0.0.3,2020/07/28 22:29:45,2020/07/28 22:31:43,Pass,PASS,8.533,12,6,26.186,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2455_ANT1_Power,5891801300060,3.0.0.3,2020/07/28 22:29:45,2020/07/28 22:31:43,Pass,PASS,8.734,12,6,26.916,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2470_ANT1_Power,5891801300060,3.0.0.3,2020/07/28 22:29:45,2020/07/28 22:31:43,Pass,PASS,9.036000000000001,12,6,27.09,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAONRSSI,5891801300060,3.0.0.3,2020/07/28 22:29:45,2020/07/28 22:31:43,Pass,PASS,-16,-9,-18,29.336,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAOFFRSSI,5891801300060,3.0.0.3,2020/07/28 22:29:45,2020/07/28 22:31:43,Pass,PASS,-28,-24,-30,29.336,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ897.4_ANT1_Power,5891801300060,3.0.0.11,2020/07/28 22:31:43,2020/07/28 22:33:07,Pass,PASS,22.881,26,21,9.71,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ1950_ANT1_Power,5891801300060,3.0.0.11,2020/07/28 22:31:43,2020/07/28 22:33:07,Pass,PASS,20.89,23.5,18.5,9.307,dBm
GFI20_RF_LTE,LTE_2G_TX_FREQ914.8_ANT1_Power,5891801300060,3.0.0.11,2020/07/28 22:31:43,2020/07/28 22:33:07,Pass,PASS,31.649,35,28,9.887,dBm
GFI20_RF_LTE,LTE_2G_RX_FREQ959.8_ANT1_RSSI,5891801300060,3.0.0.11,2020/07/28 22:31:43,2020/07/28 22:33:07,Pass,PASS,-58,-55,-65,7.676,dBm
