testscript,item,SN,version,starttime,endtime,testresult,judgement,value,usl,lsl,time,remark
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2425_ANT1_Power,5891801300120,3.0.0.3,2020/07/29 03:59:46,2020/07/29 04:01:28,Pass,PASS,9.094999999999999,12,6,14.592,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2455_ANT1_Power,5891801300120,3.0.0.3,2020/07/29 03:59:46,2020/07/29 04:01:28,Pass,PASS,8.797,12,6,26.455,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2470_ANT1_Power,5891801300120,3.0.0.3,2020/07/29 03:59:46,2020/07/29 04:01:28,Pass,PASS,8.719000000000001,12,6,26.708,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAONRSSI,5891801300120,3.0.0.3,2020/07/29 03:59:46,2020/07/29 04:01:28,Pass,PASS,-16,-9,-18,28.553,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAOFFRSSI,5891801300120,3.0.0.3,2020/07/29 03:59:46,2020/07/29 04:01:28,Pass,PASS,-28,-24,-30,28.553,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ897.4_ANT1_Power,5891801300120,3.0.0.11,2020/07/29 04:01:28,2020/07/29 04:02:58,Pass,PASS,22.776,26,21,9.634,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ1950_ANT1_Power,5891801300120,3.0.0.11,2020/07/29 04:01:28,2020/07/29 04:02:58,Pass,PASS,21.6,23.5,18.5,9.244,dBm
GFI20_RF_LTE,LTE_2G_TX_FREQ914.8_ANT1_Power,5891801300120,3.0.0.11,2020/07/29 04:01:28,2020/07/29 04:02:58,Pass,PASS,31.265,35,28,9.922,dBm
GFI20_RF_LTE,LTE_2G_RX_FREQ959.8_ANT1_RSSI,5891801300120,3.0.0.11,2020/07/29 04:01:28,2020/07/29 04:02:58,Pass,PASS,-58,-55,-65,7.632,dBm
