item,SN,version,starttime,endtime,testresult,reason,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
GFI20Bootup,5891801300062,3.0.0.3,2020/07/29 09:35:50,2020/07/29 09:36:09,Pass,,,,,,,,,,,
CountDown,5891801300062,3.0.0.3,2020/07/29 09:36:09,2020/07/29 09:37:01,Pass,,,,,,,,,,,
WaitConnect,5891801300062,3.0.0.4,2020/07/29 09:37:01,2020/07/29 09:37:06,Pass,,,,,,,,,,,
GFI20_RF_Zigbee,5891801300062,3.0.0.3,2020/07/29 09:37:06,2020/07/29 09:39:03,Pass,,,,,,,,,,,
GFI20_RF_LTE,5891801300062,3.0.0.11,2020/07/29 09:39:04,2020/07/29 09:41:20,Fail,LTE_2G 914.8Tx Current FAIL,,,,,,,,,,
