item,SN,version,starttime,endtime,testresult,reason,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
GFI20Bootup,5891801300035,3.0.0.3,2020/07/29 13:57:06,2020/07/29 13:57:12,Pass,,,,,,,,,,,
CountDown,5891801300035,3.0.0.3,2020/07/29 13:57:12,2020/07/29 13:58:04,Pass,,,,,,,,,,,
WaitConnect,5891801300035,3.0.0.4,2020/07/29 13:58:04,2020/07/29 13:58:46,Fail,Unable to connect DUT,,,,,,,,,,
