testscript,item,SN,version,starttime,endtime,testresult,judgement,value,usl,lsl,time,remark
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2425_ANT1_Power,5891801300014,3.0.0.3,2020/07/29 00:44:09,2020/07/29 00:46:05,Pass,PASS,9.232999999999999,12,6,26.396,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2455_ANT1_Power,5891801300014,3.0.0.3,2020/07/29 00:44:09,2020/07/29 00:46:05,Pass,PASS,8.727,12,6,26.965,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2470_ANT1_Power,5891801300014,3.0.0.3,2020/07/29 00:44:09,2020/07/29 00:46:05,Pass,PASS,9.178,12,6,26.815,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAONRSSI,5891801300014,3.0.0.3,2020/07/29 00:44:09,2020/07/29 00:46:05,Pass,PASS,-15,-9,-18,29.959,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAOFFRSSI,5891801300014,3.0.0.3,2020/07/29 00:44:09,2020/07/29 00:46:05,Pass,PASS,-28,-24,-30,29.959,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ897.4_ANT1_Power,5891801300014,3.0.0.11,2020/07/29 00:46:05,2020/07/29 00:47:24,Pass,PASS,22.683999999999997,26,21,9.765,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ1950_ANT1_Power,5891801300014,3.0.0.11,2020/07/29 00:46:05,2020/07/29 00:47:24,Pass,PASS,21.628,23.5,18.5,9.352,dBm
GFI20_RF_LTE,LTE_2G_TX_FREQ914.8_ANT1_Power,5891801300014,3.0.0.11,2020/07/29 00:46:05,2020/07/29 00:47:24,Pass,PASS,31.341,35,28,10.005,dBm
GFI20_RF_LTE,LTE_2G_RX_FREQ959.8_ANT1_RSSI,5891801300014,3.0.0.11,2020/07/29 00:46:05,2020/07/29 00:47:24,Pass,PASS,-58,-55,-65,7.698,dBm
