item,SN,version,starttime,endtime,testresult,reason,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
GFI20Bootup,5891801300060,3.0.0.3,2020/07/28 22:23:06,2020/07/28 22:23:13,Pass,,,,,,,,,,,
CountDown,5891801300060,3.0.0.3,2020/07/28 22:23:13,2020/07/28 22:24:05,Pass,,,,,,,,,,,
GFI20_RF_Zigbee,5891801300060,3.0.0.3,2020/07/28 22:24:05,2020/07/28 22:24:34,Fail,Connect DUT fail,,,,,,,,,,
