255,255,255,0.313189,0.326836,354.358,
0,0,0,0.222617,0.22334,0.00331972,
26,26,26,0.314939,0.327076,2.42975,
51,51,51,0.314118,0.327536,10.6796,
76,76,76,0.312878,0.327104,25.0057,
102,102,102,0.312917,0.327684,48.2025,
128,128,128,0.312318,0.327913,79.6007,
153,153,153,0.312542,0.327895,117.842,
178,178,178,0.312694,0.32757,162.898,
204,204,204,0.312767,0.327494,218.414,
230,230,230,0.312588,0.327745,284.825,
255,0,0,0.648269,0.328873,75.5797,
0,255,0,0.301538,0.601144,258.035,
0,0,255,0.148129,0.0567775,24.6234,
