item,SN,version,starttime,endtime,testresult,reason,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
GFI20Bootup,5891801300116,3.0.0.3,2020/07/29 09:29:40,2020/07/29 09:29:45,Pass,,,,,,,,,,,
CountDown,5891801300116,3.0.0.3,2020/07/29 09:29:45,2020/07/29 09:30:37,Pass,,,,,,,,,,,
WaitConnect,5891801300116,3.0.0.4,2020/07/29 09:30:37,2020/07/29 09:30:44,Pass,,,,,,,,,,,
GFI20_RF_Zigbee,5891801300116,3.0.0.3,2020/07/29 09:30:45,2020/07/29 09:34:42,Fail,ZIGBEE_2450 2445Rx RSSI FAIL,,,,,,,,,,
