item,SN,version,starttime,endtime,testresult,reason,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
GFI20Bootup,5891801300068,3.0.0.3,2020/07/29 22:55:39,2020/07/29 22:55:43,Pass,,,,,,,,,,,
CountDown,5891801300068,3.0.0.3,2020/07/29 22:55:44,2020/07/29 22:56:36,Pass,,,,,,,,,,,
WaitConnect,5891801300068,3.0.0.4,2020/07/29 22:56:36,2020/07/29 22:56:38,Pass,,,,,,,,,,,
GFI20_RF_Zigbee,5891801300068,3.0.0.3,2020/07/29 22:56:38,2020/07/29 22:58:34,Pass,,,,,,,,,,,
GFI20_RF_LTE,5891801300068,3.0.0.11,2020/07/29 22:58:34,2020/07/29 23:01:26,Fail,LTE_2G 914.8Tx Current FAIL,,,,,,,,,,
