255,255,255,0.313159,0.324517,349.209,
0,0,0,0.222617,0.22334,0.00331972,
26,26,26,0.311946,0.324574,2.3745,
51,51,51,0.312036,0.326785,10.5712,
76,76,76,0.31231,0.327477,24.9193,
102,102,102,0.312432,0.327567,47.9842,
128,128,128,0.312326,0.327744,79.3346,
153,153,153,0.312441,0.328023,117.234,
178,178,178,0.312606,0.327585,162.542,
204,204,204,0.312747,0.326946,217.699,
230,230,230,0.312778,0.326283,281.884,
255,0,0,0.648455,0.328488,75.1974,
0,255,0,0.302018,0.600112,253.732,
0,0,255,0.147882,0.0577925,24.9566,
