255,255,255,0.313026,0.325248,354.012,
0,0,0,0.21888,0.224551,0.00332489,
26,26,26,0.312729,0.327487,2.46904,
51,51,51,0.313148,0.327751,10.8164,
76,76,76,0.312367,0.328195,25.244,
102,102,102,0.313099,0.328544,48.3718,
128,128,128,0.312057,0.327963,79.9809,
153,153,153,0.312293,0.327882,118.467,
178,178,178,0.312637,0.327409,163.784,
204,204,204,0.31261,0.327273,220.446,
230,230,230,0.312872,0.326361,284.846,
255,0,0,0.648182,0.328752,76.1139,
0,255,0,0.301831,0.600437,258.26,
0,0,255,0.148573,0.0624262,27.4417,
