testscript,item,SN,version,starttime,endtime,testresult,judgement,value,usl,lsl,time,remark
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2425_ANT1_Power,5891801300043,3.0.0.3,2020/07/29 01:49:51,2020/07/29 01:51:45,Pass,PASS,8.933,12,6,25.925,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2455_ANT1_Power,5891801300043,3.0.0.3,2020/07/29 01:49:51,2020/07/29 01:51:45,Pass,PASS,9.110000000000001,12,6,26.551,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2470_ANT1_Power,5891801300043,3.0.0.3,2020/07/29 01:49:51,2020/07/29 01:51:45,Pass,PASS,8.613000000000001,12,6,26.978,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAONRSSI,5891801300043,3.0.0.3,2020/07/29 01:49:51,2020/07/29 01:51:45,Pass,PASS,-16,-9,-18,28.927,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAOFFRSSI,5891801300043,3.0.0.3,2020/07/29 01:49:51,2020/07/29 01:51:45,Pass,PASS,-28,-24,-30,28.927,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ897.4_ANT1_Power,5891801300043,3.0.0.11,2020/07/29 01:51:45,2020/07/29 01:53:04,Pass,PASS,23.106,26,21,9.675,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ1950_ANT1_Power,5891801300043,3.0.0.11,2020/07/29 01:51:45,2020/07/29 01:53:04,Pass,PASS,21.161,23.5,18.5,9.588,dBm
GFI20_RF_LTE,LTE_2G_TX_FREQ914.8_ANT1_Power,5891801300043,3.0.0.11,2020/07/29 01:51:45,2020/07/29 01:53:04,Pass,PASS,31.827,35,28,9.99,dBm
GFI20_RF_LTE,LTE_2G_RX_FREQ959.8_ANT1_RSSI,5891801300043,3.0.0.11,2020/07/29 01:51:45,2020/07/29 01:53:04,Pass,PASS,-58,-55,-65,7.684,dBm
