testscript,item,SN,version,starttime,endtime,testresult,judgement,value,usl,lsl,time,remark
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2425_ANT1_Power,5891801300008,3.0.0.3,2020/07/27 21:15:46,2020/07/27 21:19:36,Fail,PASS,8.687,11,6,27.71,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2455_ANT1_Power,5891801300008,3.0.0.3,2020/07/27 21:15:46,2020/07/27 21:19:36,Fail,PASS,8.747,11,6,27.92,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2470_ANT1_Power,5891801300008,3.0.0.3,2020/07/27 21:15:46,2020/07/27 21:19:36,Fail,PASS,8.799000000000001,11,6,28.02,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAONRSSI,5891801300008,3.0.0.3,2020/07/27 21:15:46,2020/07/27 21:19:36,Fail,FAIL,-17,-9,-15,30.9,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAOFFRSSI,5891801300008,3.0.0.3,2020/07/27 21:15:46,2020/07/27 21:19:36,Fail,FAIL,-29,-24,-30,30.9,dBm
