testscript,item,SN,version,starttime,endtime,testresult,judgement,value,usl,lsl,time,remark
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2425_ANT1_Power,5891801300019,3.0.0.3,2020/07/29 03:32:04,2020/07/29 03:33:58,Pass,PASS,8.988999999999999,12,6,25.994,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2455_ANT1_Power,5891801300019,3.0.0.3,2020/07/29 03:32:04,2020/07/29 03:33:58,Pass,PASS,9.297,12,6,26.67,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2470_ANT1_Power,5891801300019,3.0.0.3,2020/07/29 03:32:04,2020/07/29 03:33:58,Pass,PASS,8.851,12,6,26.504,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAONRSSI,5891801300019,3.0.0.3,2020/07/29 03:32:04,2020/07/29 03:33:58,Pass,PASS,-14,-9,-18,29.123,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAOFFRSSI,5891801300019,3.0.0.3,2020/07/29 03:32:04,2020/07/29 03:33:58,Pass,PASS,-27,-24,-30,29.123,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ897.4_ANT1_Power,5891801300019,3.0.0.11,2020/07/29 03:33:58,2020/07/29 03:35:17,Pass,PASS,22.45,26,21,9.661,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ1950_ANT1_Power,5891801300019,3.0.0.11,2020/07/29 03:33:58,2020/07/29 03:35:17,Pass,PASS,20.779,23.5,18.5,9.575,dBm
GFI20_RF_LTE,LTE_2G_TX_FREQ914.8_ANT1_Power,5891801300019,3.0.0.11,2020/07/29 03:33:58,2020/07/29 03:35:17,Pass,PASS,31.254,35,28,9.941,dBm
GFI20_RF_LTE,LTE_2G_RX_FREQ959.8_ANT1_RSSI,5891801300019,3.0.0.11,2020/07/29 03:33:58,2020/07/29 03:35:17,Pass,PASS,-58,-55,-65,7.679,dBm
