firstavg5,secondavg30,thirdavg100,forthavg200
5845,5899,5821,5238
5876,5911,5814,5233
5901,5923,5806,5227
5894,5931,5799,5221
5863,5941,5794,5216
5818,5949,5788,5209
5748,5954,5780,5203
5661,5963,5772,5197
5602,5977,5768,5191
5605,5993,5765,5187
5604,6008,5761,5182
5662,6022,5758,5178
5750,6039,5754,5174
5868,6056,5750,5170
5944,6071,5744,5165
6023,6089,5739,5160
6079,6099,5730,5154
6110,6116,5721,5147
6102,6124,5708,5139
6107,6134,5695,5132
6079,6146,5684,5124
6031,6152,5671,5116
5987,6162,5659,5108
5986,6170,5647,5101
5975,6176,5632,5092
6025,6185,5618,5086
6070,6190,5605,5078
6131,6190,5593,5071
6133,6184,5580,5063
6149,6170,5567,5055
6147,6154,5553,5047
6134,6140,5540,5039
6137,6125,5527,5031
6172,6117,5515,5025
6177,6106,5502,5018
6172,6093,5490,5011
6159,6086,5478,5006
6119,6070,5465,5000
6073,6055,5451,4994
6075,6034,5439,4988
6087,6010,5427,4982
6125,5992,5414,4976
6210,5975,5402,4971
6275,5964,5389,4966
6323,5949,5374,4960
6369,5931,5358,4955
6392,5909,5341,4948
6386,5883,5321,4941
6378,5859,5302,4933
6360,5830,5285,4925
6312,5799,5267,4916
6263,5775,5250,4908
6156,5746,5231,4899
6075,5714,5212,4889
5937,5686,5196,4880
5835,5660,5179,4873
5765,5638,5162,4866
5740,5628,5147,4859
5728,5617,5131,4852
5764,5615,5118,4847
5786,5613,5103,4841
5814,5601,5087,4835
5811,5589,5072,4828
5801,5575,5054,4821
5746,5563,5038,4815
5673,5548,5021,4808
5595,5521,5003,4801
5548,5500,4986,4794
5526,5478,4967,4787
5566,5458,4951,4781
5614,5443,4936,4775
5624,5428,4919,4769
5658,5414,4903,4763
5645,5396,4887,4757
5606,5381,4872,4750
5576,5370,4858,4745
5588,5358,4847,4739
5565,5340,4833,4734
5510,5333,4820,4729
5500,5328,4811,4724
5478,5322,4801,4719
5442,5309,4790,4713
5445,5297,4780,4708
5494,5289,4772,4703
5512,5274,4761,4697
5554,5268,4753,4692
5542,5255,4743,4686
5508,5237,4733,4680
5476,5209,4723,4674
5447,5185,4714,4669
5395,5163,4706,4664
5337,5147,4700,4660
5274,5130,4693,4655
5216,5112,4685,4651
5118,5084,4678,4646
5040,5057,4671,4641
5035,5043,4668,4639
5032,5028,4665,4636
5036,5015,4661,4634
5105,5010,4658,4633
5177,5004,4655,4631
5205,4997,4652,4628
5215,4992,4648,4625
5264,4982,4643,4620
5284,4968,4637,4614
5286,4955,4631,4609
5294,4944,4625,4603
5308,4938,4621,4599
5250,4922,4615,4593
5181,4908,4608,4587
5155,4893,4603,4581
5116,4877,4598,4576
5087,4864,4594,4571
5011,4851,4590,4567
4973,4837,4587,4563
4924,4818,4582,4559
4895,4802,4578,4555
4862,4781,4573,4551
4897,4773,4571,4549
4845,4767,4568,4546
4762,4757,4565,4542
4717,4748,4561,4539
4665,4737,4558,4536
4635,4720,4554,4534
4674,4722,4553,4533
4722,4720,4553,4533
4758,4713,4551,4532
4813,4704,4549,4531
4836,4689,4546,4531
4852,4673,4542,4530
4878,4653,4540,4530
4887,4631,4538,4529
4895,4608,4536,4529
4905,4582,4534,4528
4924,4558,4534,4528
