Avg5, Avg30, Avg100, Avg200
4543, 4773, 5302, 5461
4549, 4767, 5285, 5463
4561, 4757, 5267, 5463
4576, 4748, 5250, 5464
4596, 4737, 5231, 5464
4580, 4720, 5212, 5464
4578, 4722, 5196, 5464
4541, 4720, 5179, 5464
4503, 4713, 5162, 5463
4468, 4704, 5147, 5463
4447, 4689, 5131, 5463
4377, 4673, 5118, 5462
4317, 4653, 5103, 5460
4270, 4631, 5087, 5457
4235, 4608, 5072, 5454
4196, 4582, 5054, 5448
4162, 4558, 5038, 5442
4150, 4532, 5021, 5436
4118, 4503, 5003, 5430
4089, 4473, 4986, 5422
4044, 4439, 4967, 5414
4013, 4406, 4951, 5406
3965, 4373, 4936, 5398
3920, 4341, 4919, 5391
3886, 4311, 4903, 5384
3937, 4291, 4887, 5378
3983, 4277, 4872, 5374
4062, 4266, 4858, 5370
4179, 4261, 4847, 5365
4275, 4258, 4833, 5360
4303, 4251, 4820, 5355
4382, 4249, 4811, 5351
4437, 4245, 4801, 5345
4461, 4242, 4790, 5340
4497, 4241, 4780, 5336
4543, 4245, 4772, 5330
4512, 4238, 4761, 5323
4513, 4241, 4753, 5317
4503, 4241, 4743, 5310
4514, 4249, 4733, 5304
4519, 4257, 4723, 5298
4575, 4271, 4714, 5294
4615, 4290, 4706, 5290
4678, 4310, 4700, 5286
4695, 4326, 4693, 5282
4720, 4344, 4685, 5279
4708, 4362, 4678, 5273
4691, 4380, 4671, 5267
4697, 4406, 4668, 5262
4719, 4431, 4665, 5257
4732, 4459, 4661, 5251
4733, 4482, 4658, 5244
4727, 4507, 4655, 5238
4706, 4537, 4652, 5233
4698, 4566, 4648, 5227
4686, 4584, 4643, 5221
4685, 4599, 4637, 5216
4686, 4611, 4631, 5209
4678, 4620, 4625, 5203
4671, 4632, 4621, 5197
4690, 4648, 4615, 5191
4708, 4653, 4608, 5187
4733, 4661, 4603, 5182
4748, 4668, 4598, 5178
4763, 4677, 4594, 5174
4759, 4684, 4590, 5170
4747, 4693, 4587, 5165
4732, 4697, 4582, 5160
4708, 4702, 4578, 5154
4670, 4703, 4573, 5147
