testscript,item,SN,version,starttime,endtime,testresult,judgement,value,usl,lsl,time,remark
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2425_ANT1_Power,5891801300012,3.0.0.3,2020/07/28 22:40:42,2020/07/28 22:42:25,Pass,PASS,9.069999999999999,12,6,14.695,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2455_ANT1_Power,5891801300012,3.0.0.3,2020/07/28 22:40:42,2020/07/28 22:42:25,Pass,PASS,8.602,12,6,26.897,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2470_ANT1_Power,5891801300012,3.0.0.3,2020/07/28 22:40:42,2020/07/28 22:42:25,Pass,PASS,9.077,12,6,26.796,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAONRSSI,5891801300012,3.0.0.3,2020/07/28 22:40:42,2020/07/28 22:42:25,Pass,PASS,-16,-9,-18,28.418,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAOFFRSSI,5891801300012,3.0.0.3,2020/07/28 22:40:42,2020/07/28 22:42:25,Pass,PASS,-28,-24,-30,28.418,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ897.4_ANT1_Power,5891801300012,3.0.0.11,2020/07/28 22:42:25,2020/07/28 22:43:45,Pass,PASS,22.537,26,21,9.633,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ1950_ANT1_Power,5891801300012,3.0.0.11,2020/07/28 22:42:25,2020/07/28 22:43:45,Pass,PASS,21.022,23.5,18.5,9.761,dBm
GFI20_RF_LTE,LTE_2G_TX_FREQ914.8_ANT1_Power,5891801300012,3.0.0.11,2020/07/28 22:42:25,2020/07/28 22:43:45,Pass,PASS,31.184,35,28,10.555,dBm
GFI20_RF_LTE,LTE_2G_RX_FREQ959.8_ANT1_RSSI,5891801300012,3.0.0.11,2020/07/28 22:42:25,2020/07/28 22:43:45,Pass,PASS,-59,-55,-65,7.778,dBm
