item,SN,version,starttime,endtime,testresult,reason,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
GFI20Bootup,5891801300035,3.0.0.3,2020/07/29 22:42:33,2020/07/29 22:42:48,Pass,,,,,,,,,,,
CountDown,5891801300035,3.0.0.3,2020/07/29 22:42:48,2020/07/29 22:43:41,Pass,,,,,,,,,,,
WaitConnect,5891801300035,3.0.0.4,2020/07/29 22:43:41,2020/07/29 22:43:43,Pass,,,,,,,,,,,
GFI20_RF_Zigbee,5891801300035,3.0.0.3,2020/07/29 22:43:43,2020/07/29 22:45:40,Pass,,,,,,,,,,,
GFI20_RF_LTE,5891801300035,3.0.0.11,2020/07/29 22:45:40,2020/07/29 22:47:05,Pass,,,,,,,,,,,
