testscript,item,SN,version,starttime,endtime,testresult,judgement,value,usl,lsl,time,remark
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2425_ANT1_Power,5891801300029,3.0.0.3,2020/07/29 18:07:48,2020/07/29 18:09:44,Pass,PASS,8.661999999999999,12,6,26.449,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2455_ANT1_Power,5891801300029,3.0.0.3,2020/07/29 18:07:48,2020/07/29 18:09:44,Pass,PASS,8.794,12,6,26.748,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2470_ANT1_Power,5891801300029,3.0.0.3,2020/07/29 18:07:48,2020/07/29 18:09:44,Pass,PASS,9.059000000000001,12,6,27.096,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAONRSSI,5891801300029,3.0.0.3,2020/07/29 18:07:48,2020/07/29 18:09:44,Pass,PASS,-16,-9,-18,28.339,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAOFFRSSI,5891801300029,3.0.0.3,2020/07/29 18:07:48,2020/07/29 18:09:44,Pass,PASS,-28,-24,-30,28.339,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ897.4_ANT1_Power,5891801300029,3.0.0.11,2020/07/29 18:09:44,2020/07/29 18:10:59,Pass,PASS,22.798000000000002,26,21,9.743,dBm
GFI20_RF_LTE,LTE_3G_TX_FREQ1950_ANT1_Power,5891801300029,3.0.0.11,2020/07/29 18:09:44,2020/07/29 18:10:59,Pass,PASS,21.018,23.5,18.5,9.486,dBm
GFI20_RF_LTE,LTE_2G_TX_FREQ914.8_ANT1_Power,5891801300029,3.0.0.11,2020/07/29 18:09:44,2020/07/29 18:10:59,Pass,PASS,31.597,35,28,10.198,dBm
GFI20_RF_LTE,LTE_2G_RX_FREQ959.8_ANT1_RSSI,5891801300029,3.0.0.11,2020/07/29 18:09:44,2020/07/29 18:10:59,Pass,PASS,-57,-55,-65,7.924,dBm
