0,0,0,0.222617,0.22334,0.00331972,100,
41,41,41,0.31776,0.334635,7.53768,100,
41,0,0,0.681366,0.3168,2.00618,100,
0,41,0,0.233709,0.724801,5.64126,100,
0,0,41,0.1373,0.047796,0.446166,100,
47,47,47,0.317186,0.334409,10.094,100,
47,0,0,0.681431,0.31724,2.67583,100,
0,47,0,0.233251,0.725049,7.54583,100,
0,0,47,0.137363,0.0476792,0.600698,100,
52,52,52,0.316898,0.334648,12.4648,100,
52,0,0,0.68184,0.317125,3.30396,100,
0,52,0,0.23248,0.72588,9.34282,100,
0,0,52,0.137041,0.0475167,0.738575,100,
54,54,54,0.317135,0.33414,13.4031,100,
54,0,0,0.681998,0.317057,3.55814,100,
0,54,0,0.232101,0.726296,10.0001,100,
0,0,54,0.137197,0.047824,0.796827,100,
56,56,56,0.317364,0.334625,14.4207,100,
56,0,0,0.681877,0.317254,3.82047,100,
0,56,0,0.232131,0.726288,10.7547,100,
0,0,56,0.137195,0.0478197,0.851916,100,
57,57,57,0.317054,0.335093,14.9144,100,
57,0,0,0.681864,0.3173,3.94574,100,
0,57,0,0.232054,0.72647,11.1613,100,
0,0,57,0.137355,0.0476511,0.882731,100,
62,62,62,0.316072,0.334295,17.7387,100,
62,0,0,0.682058,0.31727,4.67772,100,
0,62,0,0.231898,0.726379,13.2457,100,
0,0,62,0.1371,0.0478654,1.05656,100,
66,66,66,0.316235,0.335141,20.3336,100,
66,0,0,0.681855,0.317274,5.34137,100,
0,66,0,0.231823,0.72651,15.1718,100,
0,0,66,0.137395,0.0475942,1.20265,100,
67,67,67,0.316296,0.335323,21.0084,100,
67,0,0,0.681992,0.317176,5.5297,100,
0,67,0,0.231756,0.726516,15.6462,100,
0,0,67,0.137214,0.0477586,1.2428,100,
70,70,70,0.315894,0.334569,23.127,100,
70,0,0,0.681964,0.317294,6.06317,100,
0,70,0,0.231495,0.726699,17.1342,100,
0,0,70,0.13731,0.0476625,1.36718,100,
72,72,72,0.316168,0.334713,24.5581,100,
72,0,0,0.681903,0.317412,6.46785,100,
0,72,0,0.231785,0.726399,18.2336,100,
0,0,72,0.137176,0.0477499,1.46059,100,
84,84,84,0.315622,0.334456,34.5247,100,
84,0,0,0.682181,0.317393,9.11126,100,
0,84,0,0.231407,0.726686,25.8101,100,
0,0,84,0.137105,0.0477798,2.06673,100,
92,92,92,0.31558,0.334012,42.5978,100,
92,0,0,0.682194,0.317441,11.214,100,
0,92,0,0.231109,0.727022,31.6082,100,
0,0,92,0.137142,0.0477177,2.54426,100,
112,112,112,0.315368,0.334155,66.1637,100,
112,0,0,0.681939,0.317402,17.4377,100,
0,112,0,0.231173,0.726965,49.0276,100,
0,0,112,0.137216,0.0476253,3.9411,100,
135,135,135,0.314586,0.334184,99.0409,100,
135,0,0,0.681814,0.317539,26.034,100,
0,135,0,0.23096,0.727122,73.2154,100,
0,0,135,0.13723,0.0476278,5.91423,100,
163,163,163,0.314391,0.333733,144.985,100,
163,0,0,0.681734,0.317626,38.0637,100,
0,163,0,0.230598,0.727343,106.846,100,
0,0,163,0.137258,0.0475957,8.65,100,
190,190,190,0.314557,0.33292,199.517,100,
190,0,0,0.681673,0.317688,52.5335,100,
0,190,0,0.230337,0.727393,146.532,100,
0,0,190,0.137292,0.0475988,11.9794,100,
210,210,210,0.314905,0.332484,247.846,100,
210,0,0,0.681586,0.317787,65.4906,100,
0,210,0,0.230097,0.727443,181.172,100,
0,0,210,0.137279,0.0476158,14.9035,100,
222,222,222,0.314803,0.332375,279.788,100,
222,0,0,0.681564,0.31781,73.9671,100,
0,222,0,0.229967,0.727553,204.492,100,
0,0,222,0.137211,0.0476411,16.855,100,
241,241,241,0.314528,0.332279,334.441,100,
241,0,0,0.68155,0.317812,88.195,100,
0,241,0,0.229861,0.727575,243.883,100,
0,0,241,0.137369,0.0475443,20.0704,100,
255,255,255,0.314301,0.332293,377.636,100,
255,0,0,0.681438,0.317924,99.5121,100,
0,255,0,0.229577,0.727793,274.795,100,
0,0,255,0.137434,0.0474847,22.6577,100,
