item,SN,version,starttime,endtime,testresult,reason,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
GFI20Bootup,5891801300001,3.0.0.3,2020/07/31 16:13:51,2020/07/31 16:13:55,Pass,,,,,,,,,,,
CountDown,5891801300001,3.0.0.3,2020/07/31 16:13:55,2020/07/31 16:14:47,Pass,,,,,,,,,,,
WaitConnect,5891801300001,3.0.0.4,2020/07/31 16:14:47,2020/07/31 16:14:49,Pass,,,,,,,,,,,
GFI20_RF_Zigbee,5891801300001,3.0.0.3,2020/07/31 16:14:49,2020/07/31 16:16:22,Pass,,,,,,,,,,,
GFI20_RF_LTE,5891801300001,3.0.0.11,2020/07/31 16:16:22,2020/07/31 16:17:43,Pass,,,,,,,,,,,
