255,255,255,0.312872,0.327748,355.778,
0,0,0,0.21888,0.224551,0.00332489,
26,26,26,0.313305,0.326702,2.43806,
51,51,51,0.313852,0.32742,10.6324,
76,76,76,0.31261,0.326669,24.6815,
102,102,102,0.312846,0.327104,47.9309,
128,128,128,0.312576,0.327552,79.053,
153,153,153,0.312604,0.327643,117.245,
178,178,178,0.312728,0.327704,162.785,
204,204,204,0.312414,0.327644,218.821,
230,230,230,0.312737,0.327677,283.305,
255,0,0,0.648068,0.329002,75.6258,
0,255,0,0.301305,0.601823,257.779,
0,0,255,0.147919,0.0567094,24.5535,
