testscript,item,SN,version,starttime,endtime,testresult,judgement,value,usl,lsl,time,remark
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2425_ANT1_Power,1111111111111,3.0.0.3,2020/07/27 19:37:30,2020/07/27 19:39:53,Fail,FAIL,8.935,11,6,27.5,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2425_ANT1_Power,1111111111111,3.0.0.3,2020/07/27 19:37:30,2020/07/27 19:39:53,Fail,FAIL,8.875,11,6,27.75,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2455_ANT1_Power,1111111111111,3.0.0.3,2020/07/27 19:37:30,2020/07/27 19:39:53,Fail,FAIL,8.959,11,6,27.99,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_TX_FREQ2470_ANT1_Power,1111111111111,3.0.0.3,2020/07/27 19:37:30,2020/07/27 19:39:53,Fail,FAIL,9.079,11,6,27.94,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAONRSSI,1111111111111,3.0.0.3,2020/07/27 19:37:30,2020/07/27 19:39:53,Fail,PASS,-12,-9,-15,30.97,dBm
GFI20_RF_Zigbee,ZIGBEE_2450_RX_FREQ2445_ANT1_LNAOFFRSSI,1111111111111,3.0.0.3,2020/07/27 19:37:30,2020/07/27 19:39:53,Fail,PASS,-25,-24,-30,30.97,dBm
