item,SN,version,starttime,endtime,testresult,reason,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
GFI20Bootup,5891801300070,3.0.0.3,2020/07/31 16:19:12,2020/07/31 16:19:15,Pass,,,,,,,,,,,
CountDown,5891801300070,3.0.0.3,2020/07/31 16:19:15,2020/07/31 16:20:07,Pass,,,,,,,,,,,
WaitConnect,5891801300070,3.0.0.4,2020/07/31 16:20:07,2020/07/31 16:20:14,Pass,,,,,,,,,,,
GFI20_RF_Zigbee,5891801300070,3.0.0.3,2020/07/31 16:20:14,2020/07/31 16:21:59,Pass,,,,,,,,,,,
GFI20_RF_LTE,5891801300070,3.0.0.11,2020/07/31 16:22:00,2020/07/31 16:23:25,Pass,,,,,,,,,,,
