item,SN,version,starttime,endtime,testresult,reason,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
GFI20Bootup,5899535200007,3.0.0.3,2020/08/03 18:12:36,2020/08/03 18:12:41,Pass,,,,,,,,,,,
CountDown,5899535200007,3.0.0.3,2020/08/03 18:12:41,2020/08/03 18:13:33,Pass,,,,,,,,,,,
WaitConnect,5899535200007,3.0.0.4,2020/08/03 18:13:33,2020/08/03 18:13:37,Pass,,,,,,,,,,,
GFI20_RF_Zigbee,5899535200007,3.0.0.3,2020/08/03 18:13:37,2020/08/03 18:15:34,Pass,,,,,,,,,,,
